Syrie: le dernier bastion du groupe État islamique sous pression,11 février 2019," | 			Maya Gebeily - Agence France-Presse	
",Moyen-Orient
La Chine proteste après les critiques turques sur son traitement des Ouïghours,11 février 2019," | 			Agence France-Presse 
",Asie
La liberté au détour de la frontière,11 février 2019," | 			Caroline Montpetit 
",Culture
L’affaire Bissonnette: pour que la haine ne change pas de camp,11 février 2019, | Djamel Ighil,Libre opinion
Les mythes économiques quant à l’immigration,12 février 2019, | Vincent Geloso,Idées
Controverse entre Israël et Total,12 février 2019," | 			Agence France-Presse 
",Économie
Nouveau fonds pour Cycle Capital,12 février 2019," | 			Le Devoir 
",Économie
"Trente ans après la fatwa le condamnant, Salman Rushdie ne veut plus vivre caché",12 février 2019," | 			Alain Jean-Robert - Agence France-Presse	
",Lire
Un peu plus d’humanité,12 février 2019," | Robert Perreault, ex-ministre de l’Immigration au Québec",Lettres
Une loi injuste,12 février 2019, | Jean-Charles Merleau,Lettres
On n’a encore rien vu,12 février 2019, | Pierre Desrosiers,Lettres
La parole à nos lecteurs,12 février 2019,"

66




Hockey: Folin précédé par sa réputation

            Les joueurs du Canadien se rappellent les durs coups d’épaule de leur nouveau défenseur.        

6612 février 2019
 | 			Alexis Bélanger-Champagne - La Presse canadienne	

 |
        Sports



",Sports
Hockey: Folin précédé par sa réputation,12 février 2019," | 			Alexis Bélanger-Champagne - La Presse canadienne	
",Sports
Football: le ton monte entre la LCF et le syndicat des joueurs,12 février 2019," | 			La Presse canadienne 
",Sports
États-Unis: le risque de récession en 2020 proche de 50%,12 février 2019," | 			Le Devoir 
",Économie
Cameco renoue avec les profits,12 février 2019," | 			La Presse canadienne 
",Économie
«Vice Canada» confirme le départ de quatre personnes,12 février 2019," | 			Le Devoir 
",Médias
Mise aux normes au CCA,12 février 2019," | 			Le Devoir 
",Culture
Notre choix ce soir,12 février 2019," | 			Amélie Gaudreau 
",Écrans
"Prendre part, faire monde",12 février 2019, | Camille Louis,Idées
Les états d’âme de QS,12 février 2019," | 			Michel David 
",Chroniques
Washington «n’étouffe pas» l’affaire Khashoggi,12 février 2019," | 			Agence France-Presse 
",Amériques
Quoi surveiller aujourd'hui?,12 février 2019," | 			Geneviève Tremblay 
",Société
"Devant les problèmes persistants de trains en Suisse, Bombardier s’excuse",12 février 2019," | 			La Presse canadienne 
",Économie
Des patrons américains demandent la régularisation de jeunes sans-papiers,12 février 2019," | 			Agence France-Presse 
",Économie
Morgan Stanley achète Solium Capital,12 février 2019," | 			La Presse canadienne 
",Économie
Transport collectif: «un grand défi de société»,12 février 2019," | 			Alexandre Shields 
",Environnement
Des médecins réclament un meilleur contrôle des armes à feu,12 février 2019," | 			La Presse canadienne 
",Santé
Aide aux sinistrés de l’incendie de samedi matin à Longueuil,12 février 2019," | 			La Presse canadienne 
",Société
La GRC démantèle un réseau international de blanchiment d’argent,12 février 2019," | 			La Presse canadienne 
",Société
Une amélioration chez Tim Hortons,12 février 2019," | 			La Presse canadienne 
",Économie
Violentes manifestations en Haïti,12 février 2019," | 			Amélie Baron - Agence France-Presse	
",Amériques
À la merci des Américains?,12 février 2019," | 			Pierre Trudel 
",Chroniques
Combiné nordique: Alexis Pinturault remporte le titre mondial,12 février 2019," | 			Steve Douglas - Associated Press	
",Sports
Une entente négociée est toujours possible pour SNC,12 février 2019," | 			Le Devoir 
",Économie
Stages: les étudiants en sciences humaines de l’UQAM adoptent un mandat de grève,12 février 2019," | 			La Presse canadienne 
",Éducation
Les échanges É.-U.–Chine reprennent avant la «tempête»,12 février 2019," | 			Patrick Baert - Agence France-Presse	
",Économie
"«L’Itinéraire», voué au papier",12 février 2019," | 			Philippe Papineau 
",Médias
Commotions: les adolescents qui s’entraînent semblent récupérer plus rapidement,12 février 2019," | 			La Presse canadienne 
",Sports
Jean-Samuel Blanc signe une entente de deux saisons avec les Alouettes,12 février 2019," | 			La Presse canadienne 
",Sports
"Michel Cadotte n’était pas dépressif, selon un psychiatre",12 février 2019," | 			Améli Pineda 
",Société
SNC-Lavalin réduit encore ses prévisions,12 février 2019," | 			François Desjardins 
",Économie
Faux départ pour la commission sur le cannabis,12 février 2019," | 			Caroline Plante - La Presse canadienne	
",Santé
Délits sexuels: les fédérations sportives québécoises veulent être épaulées,12 février 2019," | 			Karl Rettino-Parazelli 
",Sports
Assez d’hypocrisie!,12 février 2019," | 			Jean-Robert Sansfaçon 
",Éditoriaux
Québec se pense à l’abri de poursuites d’aspirants immigrants,12 février 2019," | 			Isabelle Porter 
",Québec
Un accueil tiède pour le film de Denis Côté à la Berlinale,12 février 2019," | 			Odile Tremblay 
",Cinéma
Les parents d'Alexandre Bissonnette jugent la peine «très sévère»,12 février 2019," | 			Guillaume Lepage 
",Société
Le projet immobilier Maestria s’apprête à franchir une nouvelle étape,12 février 2019," | 			Jeanne Corriveau 
",Économie
L’animateur Réal Giguère s’est éteint  à l’âge de 85 ans,12 février 2019," | 			La Presse canadienne 
",Culture
La Russie veut se doter d’un internet indépendant des serveurs étrangers,12 février 2019," | 			Maxime Popov - Agence France-Presse	
	, 		Olga Rotenberg - Agence France-Presse	
",Europe
"Sur «ma» génération, un candide signe de fierté et d’espoir",12 février 2019, | Zora Page,Libre opinion
"L’aluminerie de Bécancour, essentielle pour notre région",12 février 2019, | Yves Duhaime,Idées
Le Grincheux du 12 février,12 février 2019," | 			Pascal  
",Québec
"L'aide humanitaire entrera bientôt au Venezuela, promet Guaidó",12 février 2019," | 			Maria Isabel Sanchez - Agence France-Presse	
",Amériques
Dead Obies va droit au but avec «DEAD.»,12 février 2019," | 			Philippe Renaud 
",Musique
Les deux oursons blancs du Zoo sauvage de Saint-Félicien se portent bien,12 février 2019," | 			Alexandre Shields 
",Environnement
Brexit: la pression s’accentue sur Theresa May,12 février 2019," | 			Fabien Deglise 
",Europe
"Outremont, un laboratoire pour les élections fédérales ",12 février 2019," | 			Guillaume Bourgault-Côté 
",Canada
La Turquie arrête plus de 700 partisans présumés du prédicateur Gülen,12 février 2019," | 			Agence France-Presse 
",Moyen-Orient
Trump éloigne la menace d’un «shutdown» sans renoncer à son mur,12 février 2019," | 			Élodie Cuzin - Agence France-Presse	
",États-Unis
Enquête du commissaire à l’éthique sur l’«affaire SNC-Lavalin»,12 février 2019," | 			Hélène Buzzetti 
",Canada
Le climat de Montréal ressemblera à celui de Philadelphie dans 60 ans,12 février 2019," | 			La Presse canadienne 
",Environnement
SOS d'un jardinier japonais après un vol de bonsaïs,12 février 2019," | 			Agence France-Presse 
",Asie
Le ministre Roberge instaure deux récréations obligatoires d’au moins 20 minutes,12 février 2019," | 			Caroline Plante - La Presse canadienne	
",Québec
Début du procès historique des dirigeants indépendantistes catalans,12 février 2019," | 			Laurence Boutreux - Agence France-Presse	
	, 		Alvaro Villalobos - Agence France-Presse	
",Europe
Revisiter Poe sans le regard de Baudelaire,12 février 2019," | 			Caroline Montpetit 
",Lire
Flammèches à la consultation pour hausser l’âge légal pour consommer du cannabis,12 février 2019," | 			Caroline Plante - La Presse canadienne	
",Québec
Renvoi du lanceur d'alerte Louis Robert: la protectrice du citoyen enquête,13 février 2019," | 			Patrice Bergeron - La Presse canadienne	
",Québec
Place aux Francouvertes!,12 février 2019," | 			Le Devoir 
",Culture
André Lamontagne sème à nouveau la controverse,12 février 2019," | 			Guillaume Lepage 
",Société
«Ligue du LOL»: une bande de cyberharceleurs français rattrapée par ses victimes,12 février 2019," | 			Taimaz Szirniks - Agence France-Presse	
",Europe
Catalogne: un procès à défaut de processus,12 février 2019," | 			François Musseau - Libération	
",Europe
Haïti: 78 détenus s’évadent d’une prison,13 février 2019," | 			Agence France-Presse 
",Amériques
Trump éloigne la menace d’un «shutdown» sans renoncer à son mur,13 février 2019," | 			Agence France-Presse 
",Amériques
La Turquie arrête 729 personnes soupçonnées de liens avec le prédicateur Gülen,13 février 2019," | 			Agence France-Presse 
",Europe
Lettre aux parents d’Alexandre Bissonnette,13 février 2019, | Sylvie Filion,Lettres
Plus d’amour pour les professeurs de français,13 février 2019," | Guy Ferland, professeur de philosophie au collège Lionel-Groulx de Sainte-Thérèse",Lettres
Ricardo ferme son magazine en anglais,13 février 2019," | 			Le Devoir 
",Médias
